avano	haveneau, havenet
Épiméthée	S/1980_S_17, S/1980_S_16, S/1980_S_19, Saturne_XI, S/1980_S_8, S/1980_S_15, S/1980_S_4, S/1980_S_3, S/1980_S_11, S/1980_S_5
MCPB	acide_(4-chloro-2-méthylphénoxy)_butyrique, acide_(chloro-4_méthyl-2_phénoxy)-4_butyrique
Kino-Congolais	Congolo-Kinois, Congolais_de_Kinshasa
MCPP	(chloro-méthyl-phénoxy)-2_propionique
manche_à_air	manche_à_vent, saucisse, biroute, chaussette
de_charme	de_couilles, érotique, pornographique, porno, de_cul, de_boules
sapote	sapotille
U.S.A.	Amérique, USA, États-Unis_d'Amérique, États-Unis
20	20_mm
nymphette	lolita
allier	hallier
21	deux_un
colombier	pigeonnier
26	deux_six
28	deux_huit
excéder	gaver, exaspérer
anti-pucerons	aphicide
Vo_Tu_Do	boxe_vietnamienne
bordant	bordure
empapilloter	papilloter
charlatanique	charlatanesque
alcool	tafia, schnaps, tord-boyaux, éthylique, goutte, boisson, bibine, rince-dalle, esprit, esprit-de-vin, gnôle, liqueur, bistouille, éthanol
inutile	superflu, vain, superfétatoire
bar-	-bare
geai_des_chênes	geai_commun
tranquillos	tranquillou, tranquillet
misonéiste	néophobe
dénasaliser	dénasaler
fauteuil_à_bascule	chaise_berceuse, rocking_chair, berceuse, chaise_berçante, chaise_à_bascule, berçante
coucher_sur_la_paille	être_sur_la_paille
31	trois_un
apolitisation	dépolitisation
bâtonner	biffer, fustiger, bastonner
expression	locution
buvotter	beuvotter, siroter
star	étoile
courtois	raffiné, poli, preux, élégant, affable
38	trois_huit
tranquillou	tranquillet
engourdi	gourd, endormi, paralysé
entrepreneur	constructeur
s’évanouir	perdre_connaissance, perdre_conscience
fourrer	tremper_sa_nouille, tremper_son_biscuit, emmancher
2d	2e,deuxième
nobéliste	Nobel
2e	2d ,second
hyper-président	omniprésident
veine_cave_caudale	veine_cave_postérieure, veine_cave_inférieure
Australie	pays_des_kangourous, Nouvelle-Hollande, sixième_continent, Commonwealth_d’Australie
faire_preuve	faire_montre
Aix-en-Provence	Aix
de_coutume	habituellement, d’ordinaire
cache-maille	grenouille, tirelire
41	quatre_un
42	quatre_deux
43	quatre_trois
mot-valise	mot_porte-manteau
46	quatre_six
politique	diplomate, diplomatique
tristeza_des_agrumes	tristeza
parasitage	parasitisme
se_masturber	tirer_sur_l’élastique, se_reluire_le_bibelot, se_tirer_sur_la_nouille, se_jouer_une_fugue_pour_soissonnais_rose, se_branler, se_taper_sur_la_colonne, se_faire_une_soirée_magnéto-sopalin, se_trifouiller_le_lardon, aller_voir_la_veuve_poignet, contribuer_au_chiffre_d'affaire_de_Kleenex, cirer_le_pingouin, s’astiquer_le_missile, se_séguer, faire_pleurer_le_colosse, polir_le_mât, border_l'insomniaque, se_battre_les_couilles_en_neige, se_pignoler, effeuiller_le_baobab, se_saucer_le_pinceau, manuéliser, se_poignarder_comme_un_chien, mettre_du_ketchup_sur_sa_frite, se_taper_une_queue, zapper_sur_manuel, cirer_la_tige, se_graisser_le_salami, se_crosser, s’astiquer_le_chinois, s’astiquer_le_poireau, étrangler_le_borgne, tourner_la_salade, aller_voir_madame_cinq_doigts, se_doigter, se_tripoter_le_millefeuille, faire_cracher_le_python, se_palucher_le_poireau, se_queuter, se_raboter_le_gourdin, moucher_le_cyclope, s’astiquer_le_manche, tourner_le_bouton_tout_rond, auto-érotisme
malcommode	incommode
semi-ouvré	semifini, semi-fini
temporiseur	temporisateur
louperivois	loupien, fraservillien, loupérivois, ripelouvois, louprivois, lupifluvien, rivolupien
saladelle_commune	lilas_de_mer, lavande_de_mer
arnaque	abus_de_confiance, escroquerie
chenille	farandole
bard	bayard, bayart
ligne_de_destinée	saturnienne, ligne_de_chance
amicale	mutuelle
courrier	malle, lettre
portraitiser	portraire, portraiturer
appétitif	appétif
modification	transformation, variation, altération
courriel	mail, e-mail, courrier_électronique, mél
quinoa	riz_des_Incas
laborieusement	péniblement, malaisément, difficilement
flip-flap	flic-flac
réaffleurement	réminiscence
démagogue	démagogique, plébicole
bromélaïne	broméline, bromélase
écrevisse_de_Californie	écrevisse_signal, Pacifastacus_leniusculus
acide_alpha_naphtylacétique	ANA
63	six_trois
65	six_cinq
chercher_des_poux	chercher_noise, chercher_des_noises
iotacisme	iotacisation
69	six_neuf
carbonado	diamant_noir
consentement	accord, aveu, approbation, agrément
volontariste	volontaire
granulosa	couche_granuleuse
contemptible	méprisable
sanctuarisation	maintien, gel
amphigouri	galimatias, charabia
générer	causer, produire, engendrer
couche-tôt	lève-tôt
fond_d’œil	rétinoscopie
persécuté	martyr
sternum	bréchet
optionnellement	à_volonté, facultativement
bouteillier	échanson
73	sept_trois
bath	génial, super
74	sept_quatre
75	sept_cinq
77	sept_sept
78	sept_huit
xare	raquette_argentine
sérialisme	musique_sérielle
avoir_le_ballon	avoir_un_polichinelle_dans_le_tiroir, être_en_cloque, être_grosse, avoir_une_brioche_au_four, avoir_le_gros_ventre
panda_géant	panda, grand_panda
QPCR	PCR_quantitative, PCR_en_temps_réel
tête_de_déterré	air_de_déterré
métanalyse	mécoupure
mara	lièvre, Patagonie
guillemot_à_miroir	guillemot_noir, pigeon_de_mer
Abies_pectinata	Abies_alba
mari	époux, conjoint
anesthésier	insensibiliser
81	huit_un
82	huit_deux
base	alcali, alcalin, principe, soutien, assiette, dé, support, appui, fondement, ingrédient
déveine	mauvais_œil, scoumoune, guigne, poisse
monolinguisme	unilinguisme
FPGA	EPLD, CPLD
votre_serviteur	toutes_les_deux, ma_pomme, mézigue, toutes_deux
carbonaro	carbonari
oseur	hasardeur
carbonari	carbonaro
tuteur_à_roulettes	promenette
réprobation	rejet, refus
maul	ballon_porté, cocotte, tortue
la_fortune_sourit_aux_audacieux	qui_ne_tente_rien_n'a_rien, bon_cavalier_monte_à_toute_main
prendre_l’ordre	prendre_les_ordres
92	neuf_deux, nonante-deux, quatre-vingt-douze
93	neuf_trois
troque	troche, troquer
95	neuf_cinq
baud	chien-cerf
émissole	chien_de_mer, mustèle
langue_construite	langue_artificielle
métacarpe	avant-poignet, canon
ogcocephalidé	chauve-souris_de_mer, poisson_chauve-souris
maniller	manillier, marreglier, mareglier
thrombose_veineuse_profonde	thrombose, phlébite
kalispel	salish, spokane, pend_d’oreille, tête-plate
inélégance	grossièreté
alphitomancie	aleuromancie, aleutomancie
thrombophlébite	thrombose_veineuse_profonde, phlébite
avance	avancement
titreur	sous-titreur
bolosser	persécuter
trompe_de_Fallope	oviducte
de_droite_et_de_gauche	à_droite_et_à_gauche
désaliniser	dessaler
macarel	macaniche, macagnon
idéologue	idéologiste
pommeau	apprenti
rhinopharyngite	crève, nasopharyngite
couvrir_quelqu’un_de_fleurs	faire_valoir
replumer	repleumer
nananère	bisque_bisque_rage
Chat	Lièvre, Lapin
trusquin	troussequin
approbatif	approbateur
excrétoire	excréteur
diarrhée	dérangement, courante, cagasse, déripette, dévoiement, gastro-entérite, chiasse, coulante
brifer	bâfrer
attendu_que	eu_égard_à, étant_donné_que
tire-balle	tire-bourre
être_comme_rat_en_paille	comme_un_rat_dans_un_fromage
répondeur-enregistreur	répondeur
requin_zèbre	requin_léopard
Saturne_XLVIII	S_XLVIII, Surtur, S/2006_S_8
hespérie_de_la_mauve	tacheté
sparticule	superpartenaire
loisirer	se_divertir, se_distraire
viverridé	civette, viverrin
monosaccharide	ose
existence	vie
avanie	chambrage
unaire	monadique
lynx_d’Eurasie	loup-cervier, lynx_commun
gastrophile	gastérophile
s’en_aller_au_diable	ficher_le_camp, foutre_le_camp, aller_se_faire_enculer, aller_se_faire_foutre, aller_se_faire_voir_chez_les_Grecs, se_casser, aller_se_faire_fiche, aller_se_faire_voir, aller_se_promener
métamitrone	3-méthyl-4-amino-6-phényl-1,2,4-triazine-5_(4_H)-one
locution	paralexème, expression, syntagme
honorer	révérer
langue_de_Pouchkine	russe
cadeau	offrande, don, présent
théâtralité	théâtralisme
Harijan	dalit, intouchable
king_size	forme_extra_longue, taille_XXL
envoyer_bouler	envoyer_paître, envoyer_sur_les_roses, envoyer_à_tous_les_diables, envoyer_au_diable, envoyer_valdinguer, envoyer_au_bain, envoyer_à_la_balançoire, envoyer_dinguer, envoyer_aux_pelotes, envoyer_promener, envoyer_balader
bourraque	bouragne, bourache
stoa	péristyle
DDD	dichloro-diphényl-dichloroéthane
trompeter	bucciner, claironner
mutique	muet
différemment	autrement
en_tout	en_tout_et_pour_tout
Chien	Canidé
retenir_sa_respiration	retenir_son_souffle
saint_chrême	chrême
provenance	racine, point_de_départ, origine, source, commencement, fondement
malbâti	difforme
œnothère	onagraire, herbe_aux_ânes, onagre
omnipraticien	généraliste
checksum	empreinte
cardiomyopathie	myocardiopathie
célosie	crête-de-coq
abreuver	accabler, combler, soûler
ralourdir	réalourdir
bistanclaque	métier_à_tisser
renvoyer_aux_calendes_grecques	semaine_aux_quatre_jeudis, quand_les_poules_auront_des_dents, à_la_Saint-Glinglin
tansad	siège_arrière
centre_LGBT	CLGBT, CGLBT, centre_GLBT
DEL	diode_électroluminescente, LED
buccin-marin	bouret
hypertension_artérielle	hypertension
cryoclastie	gélifraction
professionnel	pro
nanifier	naniser
quatre-vingt-deux	huitante-deux
intermédiat	intermédiaire
union_libre	concubinage
thaïs_de_Cérisy	thaïs_balkanique
énouer	épinceler, époutier, épinceter, époutir, épincer
bursite	hygroma
verre_gradué	verre_doseur
lieu_commun	banalité, platitude, cliché, tarte_à_la_crème, idée_reçue, poncif, stéréotype
hématologue	hématologiste
murène_à_longue_queue	pampan
employé_de_bureau	bureaucrate, gratte-papier, rond-de-cuir, fonctionnaire, scribouillard
rabza	beur
dernier-né	puiné, benjamin, cadet
A1	Nord, Lille, Paris
modéré	modeste, mesuré, pondéré, moyen, abordable, prudent, raisonnable, sage
barbotine	slush, majolique
A8	Provençale, E429
organoïde	néo-organe
aréniforme	sableux
djoza	djoze, djozé
oligoélément	micro-élément, élément-trace
humbles	pauvre
démilitarisation	désarmement
vanneau	dix-huit
lasiocampidé	bombyx_feuille-morte
borozail	aseb, zail
mancône	bourane
lettre_de_change	traite
tacheter	moucheter
stop	arrêt-stop, arrêt
flirt	maraîchinage
B9	Alar
vouer	dédier
proto-bantou	bantou_commun
sac_de_couchage	duvet
prudence	circonspection, prudentiel, prudent, défensive
fraîchement	récemment, fraîcheur, depuis_peu, frais, nouvellement
glycique	amino-acétique
BD	bande_dessinée, bédé
fenpropimorphe	CGA_101031, BAS_421F
grandeur_scalaire	quantité, élément_d'un_espace_vectoriel, nombre
quarterback	quart, quart-arrière
Chio	Chios
BM	béhème
tenir_le_vent	rallier_le_vent, rallier_au_vent, pincer_le_vent
préceinte	lisse
mycètes	fungi, mycota
porter_plainte	déposer_plainte
gibbosité	bosse
tordgoule	terrine_de_Fierville, teurgoule, bourre-goule, terrinée
Ay	Aÿ-Champagne, Aÿ
machin	truc
multicolore	bigarré, bariolé, irisé
paclitaxel	taxol
CD	disque_compact, disque_laser, DC
méthane	gaz_des_marais, formène
serpent_à_lunettes	cobra
classe_mère	superclasse, super-classe
en_sens_inverse	à_l’opposite, à_l’opposé, en_sens_contraire
diocèse	éparchie, évêché
soirée_de_sacoches	soirée_de_filles
rarotongien	maori_des_îles_Cook
D4	dé_à_quatre_faces
argousin	flic, gaffe, maton, bourre, ergastulaire, geôlier, garde-chiourme, poulet, gardien_de_prison, keuf, roussin
D6	dé_à_six_faces
urbanisation	artificialisation
D8	dé_à_huit_faces
amerloque	ricain, Étatsunien
petit-maître	muscadin, dameret, dandy
optimaliser	optimiser
vigousse	vigoureux
maison_garnie	maison_meublée
ornithologue	ornithologiste
massette	canne_de_jonc, masse_d’eau, marteau, quenouille
prématuré	immature
chaumière	masure, chaume, chaumine, gourbi
désimlocker	déverrouiller, débloquer
caddie	cadet
antiacide	antacide
virus_Ébola	virus_de_la_fièvre_d'Ebola
avoir_un_pied_dans_la_tombe	être_au_bord_de_la_fosse, avoir_le_pied_dans_la_tombe, être_au_bord_de_la_tombe, avoir_déjà_un_pied_dans_la_tombe, avoir_le_pied_dans_la_fosse, avoir_un_pied_dans_la_fosse
plomb	saturne, aabam
par_voie_basse	naturellement, vaginalement, naturel, vaginal
baptiseur	baptiste
pin_maritime	pin_mésogéen, pinastre, pin_des_Landes, pin_de_Bordeaux
EC	apr._J.-C.
ronronnement	ronron
palmier_des_Everglades	paurotis
monovalent	univalent
F1	T1
F2	type_2, deux-pièces, T2
tahitianiser	emprunter
prononceur	prononciateur
pied-droit	parastade
perdre_la_respiration	perdre_l’haleine, perdre_haleine
option_sur_titres	stock-option, option_d’achat_d’action
bunu_numao	numao, nu_mhou
boite	caisse, coffret
subtropical	extratropical
donner_à_travailler	donner_à_courir
infailliblement	forcément, inévitablement, à_coup_sûr, fatalement, immanquablement
Schutzstaffel	SS
craquette	vulve, vagin, chatte
hypaspiste	porte-bouclier
protandre	protérandre
balisier	canna
attraire	appâter, poursuivre, séduire, traîner
vol_au_pégriot	vol_au_radin
bréneux	merdeux
Kingston-sur-Tamise	Kingston-upon-Thames, Kingston, Kingston-sur-la-Tamise
galopin	vaurien, garnement, voyou, chenapan
carcadet	carcaillot
coudrette	coudraie
hélianthème_des_Apennins	hélianthème_blanc
subsumer	inclure
arriver_comme_Belsunce	arriver_les_mains_vides
bas_Moyen_Âge	Moyen_Âge_tardif
vague_bleue	Chambre_bleu-horizon
s’en_griller_une	fumer
bactrien	étéo-tokharien
quatre-vingt-seize	nonante-six
épidote	stralite_vitreux, bucklandite, zoisite, ferriepidote, épidosyte, acanticonite, delphinite, schrol_vert_du_Dauphiné, rayonnante_vitreuse, oisanite_, acanthicone_, eschérite, thallite, épidosite, achmatite, puschkinite, épidotite, aescherite, pistachite, arendalite, allochite, beustite, scorza
cent_à_la_douzaine	treize_à_la_douzaine
flottement	remplacer, flottage, propre
révéler	relever
déglutination	décollement
esche	appât, leurre, amorce
serpenton_à_long_nez	serpent_de_mer
sous-verre	sous-bock, soucoupe
trier	sélectionner, classer, ordonner, ranger
quart-de-pouce	compte-fils
clystère	lavement
HS	en_panne, hors-service
de_manière_à	de_façon_à
branchage	ramée, ramage, ramure, rameau
baloter	peloter, ploter
sa_poire	cézigue, sa_pomme
végétal	plante
variable_indicatrice	booléen
théâtralisme	histrionisme, théâtralité
bonduc	cadoc
Neptune_IV	S/1989_N_5, N_IV, Thalassa
pustule	élevure, bube
dérebreaker	redébreaker
mourir_de_faim	avoir_la_dalle, avoir_l’estomac_dans_les_talons, crever_la_dalle, mourir_d’inanition, avoir_une_faim_de_loup
Neptune_IX	N_IX, S/2002_N_1, Halimède
donner_des_éperons	donner_des_deux
Caprifoliacées	Lonicerées
IV	injection_intraveineuse
ours_blanc	ours_polaire
antirouille	anticorrosion, anticorrosif
Neptune_II	N_II, Néréide
moins	signe_moins
intérieurement	dedans, en_son_for_intérieur
déhonté	impudent, éhonté
columbium	Nb, niobium
bridon	hapchot, hachot
Élara	Jupiter_VII
furathiocarbe	2,3-dihydro-2,2-dimethyl-7-benzofuranyl_2,4-dimethyl-5-oxo-6-oxa-3-thia-2,4-diazadecanoate, CGA_73102, butyl_2,3-dihydro-2,2-dimethylbenzofuran-7-yl_N,N'-dimethyl-N,N'-thiodicarbamate
gerber	dégobiller, entasser, appeler_Raoul, dégueuler, empiler, quicher, régurgiter, vomir
DPI	PPP
étrangement	étonnamment, bizarrement
ère_vulgaire	ère_conventionnelle, ère_commune
ridiculement	grotesquement, cocassement, burlesquement
vivaneau_flamme	vivaneau_la_flamme
publiphobe	antipub
inavoué	taire
faire_la_noce	banqueter, s'amuser
JO	jeux_Olympiques, Journal_officiel_de_la_République_française, Journal_officiel
décidé	déterminé
Io	J_I, Jupiter_I
oscilloscope	oscillo, oscillographe
K2	Dapsang, mont_Godwin-Austen, Chogori
demi-sommeil	somnolence
psychokinèse	psychokinésie
angliche	anglais
prunier_de_Cythère	évi, pommier_de_Cythère, arbre_de_Cythère
créancier	prêteur, créditeur
faute_de_quoi	sans_quoi, sinon
équestre	chevalin, hippique, équin
con_comme_un_gland	con_comme_une_bite
chiffrement	cryptage
KO	vanné, fatigué
sauropsides	sauropsidiens
basaliome	épithélioma_basocellulaire, carcinome_basocellulaire
marbré_oriental	blanc_tacheté_de_l'Est, piéride_de_la_roquette, piéride_ausonia
abominable_homme_des_neiges	yéti
misonéisme	néophobie
boire	imbiber, écluser, s’enivrer, désaltérer, picoler, bessonner, imprégner
DRH	directeur_des_ressources_humaines, directeur, personnel
long-jointé	bas-jointé
baigner	tremper
éthylène	éthène
dulcimer	tympanon
hollandiste	hollandais
désoxyder	réduire
bataillon	groupement
offrant	disant
dévider_le_jars	jaspiner_bigorne
plouf	ploc, plaf, plof, splash
kali’na	galibi
DSL	xDSL
prendre_à_ses_risques_et_périls	prendre_à_ses_risques,_périls_et_fortunes
ziphiidé	baleine_à_bec
MP	Maths_Spé
exécuteur_des_hautes_œuvres	exécuteur_de_la_haute_justice, maître_des_hautes_œuvres
tribu	horde, σ-algèbre
cigarettier	cigarette, industrie, tabac
donner_pour_femme	donner_en_mariage, donner_pour_épouse
stupa	pagode
sebkha	chott
fonction_polynôme	fonction_polynomiale
calendos	claquos, camembji
vanité	frivolité, fatuité, fierté, futilité
majorer	renchérir
océane	océanique
Valence	Valence-d’Agen
diastème	dents_du_bonheur
myoblastome	myoblastomyome
j’ai_failli_attendre	enfin, quand_même
contourner	chantourner
aïe	ahi, ayoye, ouille
chope	bière, pils, bock
écaille_écarlate	écaille_rouge, écaille_marbrée_rouge, écaille_lustrée
acier_rapide	acier_autotrempant
saisie-arrêt	saisie-attribution
mésokurtique	gaussien
délicieusement	joliment, adorablement, délicatement
lœss	limon_des_plateaux
Pétrograd	Léningrad, Saint-Pétersbourg
malicieusement	malignement
acculturation	anatopisme
magicien	prestidigitateur, mage, sorcier
complément_d’objet	objet
tirer_le_diable_par_la_queue	ne_pas_avoir_une_cenne, être_dans_le_trou, être_dans_le_rouge
azote	nitrogène, diazote
chose	machin-chose, Truc_Machin-Chouette, Machin_Chouette
puine	mort-bois
sub-	sous-, hypo-
axino	saxion
France	patrie_des_Droits_de_l’Homme, Hexagone, pays_de_la_liberté,_de_l’égalité_et_de_la_fraternité, État, France_métropolitaine, République_française, fille_aînée_de_l’Église, français, Paris, métropole
wampum	sewan
dénoyer	exonder
P4	psycho
tétrasul	sulfure_de_p-chlorophényle_et_de_trichloro-2,4,5_phényle
théorème_de_Thalès	théorème_d’intersection
